issue_id,commit_id,method,score
MNG-3331,91d2e5abf9284b67902602bd5f44a6885efceb77,default,1
MNG-3388,621d238877bfc36a382ec394bb0ddee0b7ff004d,default,1
MNG-3388,738cb3016b83a9ec2d08814c4c2469ba9c808478,default,1
MNG-339,fda77afb12331f8ba94e337298c586e70763044a,default,1
MNG-3424,970065b4bd6c155f0716a8b1e571c91e05b099e4,default,1
MNG-3503,57171cb4aa7d1ecf19e374d21965ad2666b312aa,default,1
MNG-3509,19b26ee65756cb37e13f1d2062b4b6f7e6609603,default,1
MNG-3511,9cef694f174a650aea7347e0c3bd11939ce439af,default,1
MNG-3544,4310dd2c511867c1a4867d1885947c4b90dec7af,default,1
MNG-3571,9f84e95babb6df634a98da1f78073deb4a8d38ea,default,1
MNG-3598,ac4c9407111d7bad8c1ef8d0d81646b6018fc332,default,1
MNG-3631,0abb04c8bba6eb67bec057cc7eba9b4be0f43f28,default,1
MNG-3631,d1124333ad67112c9b01a241bff1c8a68482c82c,default,1
MNG-371,46e32b8b9023ff22fcfb42d2f45102122ba78fe6,default,1
MNG-3714,7a19b6bd5a156170196cd2037373170b7349d3ef,default,1
MNG-377,4b53aba3bb6839694970739baeb1918bbf4acec0,default,1
MNG-377,03a50c14628d4cae0e02122a9e7be8a8af45c13f,default,1
MNG-377,91dfd62176cc300fe8d39fa5c0b274c2a5635e82,default,1
MNG-377,63aab278c25ca9325b1ddc307d453416b7ee99cd,default,1
MNG-377,ca59227be117c8767acecf4e8621ed8d22d8bb9f,default,1
MNG-3779,57fd3fb279ceb238506734b154a4d95a537da68f,default,1
MNG-378,48cf14a6565885278612fc9d13f8b1604e11d06b,default,1
MNG-3787,9811be2c3e521ddc12f11952fdab75c786eab89f,default,1
MNG-379,a3cf96219f9eebed9ba620183b71f1a2eecef683,default,1
MNG-379,b813c3d430a3aa5f2fa6cf7181ecf03faa6267dd,default,1
MNG-379,d15513bd605afb9902fe93692c370306deff5515,default,1
MNG-3834,bd45522fafeed715b2ed17670d0af0fc476b5090,default,1
MNG-3891,ceae922653e7bf4bd1013e01d0f8deae7443744c,default,1
MNG-3951,7397cc69d6208b05f77ba48cb8b4e178b2777915,default,1
MNG-4005,b16a0051061da48841c20ee565cae990ba7db5f0,default,1
MNG-4005,8a43011d41a2a10256e828496c7426b505b5a799,default,1
MNG-4037,55fe596230ae20685889da4894fc707d36e71025,default,1
MNG-4048,ddf82578665db5be879e468367d409e32863e83e,default,1
MNG-4057,af31b86868e536e0a15ce4e857ae3a0ba74e3d9b,default,1
MNG-4099,626884e9eeaafe895a0118d3d9d57dd6206c353e,default,1
MNG-411,3ced3f960f54280894d1f57841cf53ae06e36da4,default,1
MNG-411,c6ad9aa729f9fe128869eb84dd7bb9310954685e,default,1
MNG-411,f0cb76ca8edc51321a7aff4fbb5ab76280efe2a5,default,1
MNG-411,ec805f988f958a120aa616fd04f05ac37d317f5b,default,1
MNG-4112,2e1d7433ffb4d125b0e3501c776a571a61cdd57c,default,1
MNG-414,3e2449750d12e15652fa9d8efcf80a368143bf3c,default,1
MNG-415,ac2d8a7e831382797513fab99a28ffac201855c3,default,1
MNG-4162,51d640d13b5262f8ef309b64f824ad62959789af,default,1
MNG-4162,40e7df8454270a1deff0c9a532815e38fdd99a8f,default,1
MNG-4162,79d66f164cf21f47993be02233ac2a0f6c707a3c,default,1
MNG-418,ae93f02c8d905173a0095ecef2912f4ddda9bffc,default,1
MNG-4186,504f5bca65c4a9edee050c62cedb3857d4cc875c,default,1
MNG-4193,5cde8bfe4ba492719b6ab2830332bdea576eb7c8,default,1
MNG-4194,eda354717ba76669af4ed42d01f38c5a5176668d,default,1
MNG-4194,5bddea600360b8bc022dda45910380062928bf7a,default,1
MNG-4224,accb45543fd635d692a7aecbfa099a4c83831205,default,1
MNG-4244,8efe10c89ed526cf753af1f52a80afe859330b3d,default,1
MNG-4247,5ad174e3d65fd86edd20d9513e08f5148ef4aa5f,default,1
MNG-4293,0e1d2e829d206bdf9ed30a3eec5396d4740361c6,default,1
MNG-4296,6e302e26c914ec389491752a6f526d61956ab795,default,1
MNG-4298,b3611a4fdd97d993bab61fa61759cbd4dd510ea0,default,1
MNG-4368,02e2e6664c0ec5e2b75da76a188fb9ffd5918a97,default,1
MNG-4368,9d137583dd35358ea473a30536a0eab4686150ca,default,1
MNG-439,0506b79dd02150b5c238badf91253722fbfdde7c,default,1
MNG-4390,a13a336cea5652866c70ba25648266b2b8e91025,default,1
MNG-4402,01b1b163867a67e78a8634f5118359c55ead319b,default,1
MNG-4404,077c0be9a996b59a14eec749ef34928e836d1ad3,default,1
MNG-4405,67c7dc2168e7358066b223c4b70f020071e446ca,default,1
MNG-4421,002f0a443264222e231b077c2430fa308d8af2b1,default,1
MNG-4423,f601e9c0972810aefa579c9501c25e5bb88e3a36,default,1
MNG-443,b3702b24b53450fe9516e69e3d3f01fc07828e95,default,1
MNG-4432,3264611447be6ea644474f88c51e958bb94cb5d2,default,1
MNG-4432,94176403596749c6e2dc5c43226561fcbdc64bc3,default,1
MNG-4440,0f465258e5b0eb579a82cf91ac99706ab0f155f6,default,1
MNG-4452,7e99c2999b8b450d37375f315c40d84472d89c86,default,1
MNG-4452,01ae5291a8fe1fc05e1a079a6e3b7790d2d45297,default,1
MNG-4456,f2d48a06ad0655acbf8ab6c596219fbf94ebcf2f,default,1
MNG-4464,8b6616cf3b53b77c40cbb0609b92f8d92da42934,default,1
MNG-4494,837eb821f1063dd12c84cef82f44e0efc9b2585e,default,1
MNG-4498,3d949386638d7a78bbf2daeb2735d0641e7badd9,default,1
MNG-451,379863a9464a90d388dd8db7b4fcf1b0cc2c9dc7,default,1
MNG-456,086463b5b4aad0ca397d61329358190090add7cd,default,1
MNG-4591,b433187006c1a336e169b0c8cc8c1de4f0de9209,default,1
MNG-461,70f2351610378b2643ecadbec14800717690bb35,default,1
MNG-4619,82867698345e0fafe5a704e9a04e39a3b930bfbb,default,1
MNG-4623,fc7636db41d5d6fb563e71aee6d14419e988a936,default,1
MNG-4628,fba6edc9ae6b1930bd6bbbee7bdd90c271f0ad8e,default,1
MNG-463,a91802d46d9fefae5ad379e74ff727d386a92ab8,default,1
MNG-4634,2115920094596ca9d5882b776a1c2584b4a5535d,default,1
MNG-4642,6c35e2d3cf16116ea3ffcf63f80a8526fac163fb,default,1
